x,y
1358,1381
2301,1381
2381,1381
2771,1382
2154,1384
3090,1384
3029,1385
3237,1386
3474,1386
3553,1386
92,1387
2600,1387
3153,1387
749,1390
3740,1392
748,1393
1642,1393
1413,1394
432,1395
717,1395
1333,1395
2034,1395
274,1396
24,1398
3259,1398
3495,1398
230,1399
3649,1399
1739,1400
203,1401
2674,1401
828,1402
1511,1402
3768,1402
1962,1403
3214,1404
587,1405
882,1405
1592,1406
1687,1406
2821,1406
3243,1406
3694,1406
3953,1406
4034,1406
380,1407
400,1408
2522,1408
1027,1409
1448,1409
2867,1409
1319,1410
1840,1410
2890,1410
3518,1411
352,1412
748,1412
1263,1412
1577,1412
3903,1413
2767,1414
187,1415
3474,1415
3977,1415
412,1416
3197,1416
2360,1417
2683,1419
2936,1420
3561,1422
3791,1422
860,1423
4003,1425
4090,1425
3275,1426
3415,1426
27,1427
1795,1427
2580,1427
3822,1427
4004,1427
1182,1429
2699,1429
302,1430
480,1430
1437,1430
3828,1430
2246,1431
1457,1433
1485,1433
2687,1433
3333,1433
3481,1434
4041,1434
4017,1435
3038,1437
3361,1438
492,1439
649,1439
813,1439
340,1440
216,1441
1818,1441
700,1442
3082,1442
606,1443
2072,1443
3375,1444
1536,1446
2385,1446
818,1447
3071,1447
3590,1448
1723,1449
3573,1450
3381,1451
1312,1452
1857,1452
2427,1452
2592,1452
203,1453
756,1453
1234,1453
2375,1453
867,1454
1644,1455
2332,1455
2425,1455
2695,1455
1537,1456
3497,1456
970,1457
3635,1457
673,1458
643,1459
3043,1459
3707,1461
3869,1461
790,1462
3315,1462
3028,1463
755,1465
2264,1465
2434,1465
2452,1465
3330,1466
965,1467
2818,1468
3789,1468
1554,1469
2528,1469
1194,1470
3892,1470
4016,1470
2714,1471
86,1472
3368,1472
122,1474
3031,1474
3320,1474
380,1475
1716,1475
2580,1475
2744,1476
3685,1477
1671,1478
2386,1478
143,1479
2201,1479
2891,1481
3230,1481
931,1482
1041,1483
1152,1483
1853,1484
2820,1485
2885,1485
65,1486
3707,1486
3954,1486
2529,1487
1948,1488
414,1489
1322,1489
1651,1490
2077,1490
3115,1490
1954,1491
2911,1491
2118,1492
428,1495
1214,1495
2498,1497
973,1498
2321,1498
1138,1499
2264,1500
3311,1500
3791,1500
4078,1500
1077,1501
2086,1501
1920,1502
329,1503
1321,1504
2600,1504
282,1505
794,1505
1924,1506
2167,1506
3254,1506
3897,1506
2319,1507
2983,1507
3073,1507
3373,1507
3428,1508
3876,1508
2922,1509
3491,1510
3799,1510
2754,1511
3078,1511
3105,1511
2005,1512
2658,1512
3988,1512
1890,1514
2599,1514
1103,1515
1233,1515
2056,1515
2609,1515
3851,1515
528,1516
785,1516
2464,1516
3712,1516
51,1518
2240,1519
822,1520
3443,1521
844,1522
1252,1522
2211,1522
3608,1522
805,1523
2049,1523
3923,1523
162,1525
2085,1525
938,1526
2108,1526
84,1527
322,1527
1310,1527
1792,1528
2154,1528
2866,1528
3383,1528
462,1529
477,1529
3393,1530
2430,1531
4053,1531
1320,1532
1604,1532
1770,1532
2423,1534
2581,1534
225,1535
1720,1535
3647,1535
3852,1535
2025,1536
3391,1536
2290,1537
2897,1538
3149,1538
2678,1539
54,1540
2697,1540
678,1542
3127,1542
3312,1542
2784,1543
1472,1546
3094,1546
3587,1546
8,1547
1808,1547
3231,1551
2681,1553
1100,1554
2055,1555
3916,1555
191,1556
3786,1556
1077,1558
3255,1558
1223,1559
2646,1559
584,1561
746,1561
2798,1561
1631,1562
457,1563
1849,1564
3397,1564
1522,1565
3820,1566
803,1567
3815,1567
4052,1567
579,1568
1563,1568
2560,1568
2925,1568
2602,1569
3660,1569
4032,1569
1586,1570
2165,1570
2885,1571
512,1573
868,1573
3822,1573
394,1574
1990,1574
10,1575
804,1575
1765,1575
2979,1576
593,1577
2908,1577
287,1578
1160,1578
2208,1578
220,1579
1032,1579
985,1580
2531,1582
3807,1583
2789,1584
2036,1586
2951,1586
4029,1586
1843,1587
3989,1587
2869,1588
1612,1589
616,1590
1972,1590
1355,1592
2354,1592
3577,1592
3881,1592
834,1593
3461,1593
95,1594
3288,1594
1778,1595
2158,1595
3715,1595
3939,1595
78,1596
2686,1596
3451,1596
1159,1597
1617,1598
1764,1598
3057,1598
44,1599
630,1599
2904,1599
3129,1599
1595,1600
3145,1600
961,1601
2237,1601
3902,1601
68,1602
267,1603
794,1603
975,1604
1688,1604
1511,1605
2200,1605
3584,1605
3243,1606
2535,1607
1583,1608
3108,1609
3758,1610
2723,1611
821,1612
1362,1613
2628,1613
285,1614
3364,1614
925,1615
252,1617
406,1617
